,id,created_at_dt,last_move_at_dt
44,eSociDPG,2017-07-06 08:33:20.000000000,2017-07-06 08:33:20.000000000
45,mpzYDfIK,2017-07-06 08:33:20.000000000,2017-07-06 08:33:20.000000000
46,27zreJYy,2017-07-06 08:33:20.000000000,2017-07-06 08:33:20.000000000
47,IRYkgI8N,2017-07-06 05:46:40.000000000,2017-07-06 05:46:40.000000000
48,tLnhk43J,2017-07-02 15:40:00.000000000,2017-07-02 15:40:00.000000000
49,iq3Kz06t,2017-06-25 14:13:20.000000000,2017-06-25 17:00:00.000000000
50,AAw1TiNN,2017-06-20 17:33:20.000000000,2017-06-20 17:33:20.000000000
51,n4vRYUCW,2017-06-19 19:20:00.000000000,2017-06-19 19:20:00.000000000
52,KYPdQv8e,2017-06-19 16:33:20.000000000,2017-06-19 19:20:00.000000000
53,p30PeXvE,2017-06-19 16:33:20.000000000,2017-06-19 16:33:20.000000000
54,PBS4FEld,2017-08-20 09:06:40.000000000,2017-08-20 11:53:20.000000000
55,0lDqWVlz,2017-08-19 22:00:00.000000000,2017-08-19 22:00:00.000000000
56,O3wdIwg7,2017-09-01 10:00:00.000000000,2017-09-01 10:00:00.000000000
57,48ktrxLp,2017-09-01 07:13:20.000000000,2017-09-01 07:13:20.000000000
58,i2GBGO0R,2017-08-31 00:40:00.000000000,2017-08-31 00:40:00.000000000
59,QZSTu1aT,2017-08-31 00:40:00.000000000,2017-08-31 00:40:00.000000000
60,9tU9MM6P,2017-09-01 01:40:00.000000000,2017-09-01 01:40:00.000000000
61,ztpC1S2c,2017-08-29 01:26:40.000000000,2017-08-29 01:26:40.000000000
62,qc8aH5XL,2017-08-29 01:26:40.000000000,2017-08-29 01:26:40.000000000
63,6sTz6t7D,2017-08-29 01:26:40.000000000,2017-08-29 01:26:40.000000000
64,XuyVUkDi,2017-08-29 01:26:40.000000000,2017-08-29 01:26:40.000000000
65,D5Oa4vGO,2017-08-28 22:40:00.000000000,2017-08-28 22:40:00.000000000
66,6QAiH2Yy,2017-08-28 03:13:20.000000000,2017-08-28 03:13:20.000000000
67,l7top9ps,2017-08-27 05:00:00.000000000,2017-08-27 05:00:00.000000000
68,nG3Of11I,2017-08-26 23:26:40.000000000,2017-08-26 23:26:40.000000000
69,cUzM68JF,2017-08-26 01:13:20.000000000,2017-08-26 01:13:20.000000000
70,NZSBXWl2,2017-08-26 01:13:20.000000000,2017-08-26 01:13:20.000000000
71,DHuXFP6C,2017-08-25 22:26:40.000000000,2017-08-25 22:26:40.000000000
72,00R4UOcU,2017-08-25 22:26:40.000000000,2017-08-25 22:26:40.000000000
73,IN15cBnB,2017-08-25 19:40:00.000000000,2017-08-25 19:40:00.000000000
74,WYOts2ME,2017-08-25 19:40:00.000000000,2017-08-25 19:40:00.000000000
75,oWFQ8mnz,2017-08-25 19:40:00.000000000,2017-08-25 19:40:00.000000000
76,i2I8y9Xh,2017-08-25 19:40:00.000000000,2017-08-25 19:40:00.000000000
77,osPCRdxJ,2017-08-25 16:53:20.000000000,2017-08-25 19:40:00.000000000
78,Mi1AmkiI,2017-08-25 00:13:20.000000000,2017-08-25 00:13:20.000000000
79,7kK30TmL,2017-08-24 04:46:40.000000000,2017-08-24 04:46:40.000000000
80,ThCXomTn,2017-08-24 02:00:00.000000000,2017-08-24 02:00:00.000000000
81,4dH72B3d,2017-08-23 03:46:40.000000000,2017-08-23 03:46:40.000000000
82,4jRtIZTy,2017-08-23 03:46:40.000000000,2017-08-23 03:46:40.000000000
83,wNK2HdLb,2017-08-23 01:00:00.000000000,2017-08-23 01:00:00.000000000
84,d62Tg4dc,2017-08-23 01:00:00.000000000,2017-08-23 01:00:00.000000000
85,TaSQfvww,2017-08-22 22:13:20.000000000,2017-08-22 22:13:20.000000000
86,Xwpzq87m,2017-08-22 19:26:40.000000000,2017-08-22 19:26:40.000000000
87,AHmgnsKz,2017-08-22 19:26:40.000000000,2017-08-22 19:26:40.000000000
88,MfNml1rl,2017-08-22 19:26:40.000000000,2017-08-22 19:26:40.000000000
89,mEAvshF2,2017-08-22 02:46:40.000000000,2017-08-22 02:46:40.000000000
90,ySsVdRfw,2017-08-22 02:46:40.000000000,2017-08-22 02:46:40.000000000
91,ylLqmXwb,2017-08-22 00:00:00.000000000,2017-08-22 02:46:40.000000000
92,8mceLIXN,2017-08-22 00:00:00.000000000,2017-08-22 00:00:00.000000000
93,YmJpuJkM,2017-08-22 00:00:00.000000000,2017-08-22 00:00:00.000000000
94,PNNfempy,2017-08-22 00:00:00.000000000,2017-08-22 00:00:00.000000000
95,TVfozmF5,2017-08-22 00:00:00.000000000,2017-08-22 00:00:00.000000000
96,4LX77G3m,2017-08-21 21:13:20.000000000,2017-08-21 21:13:20.000000000
97,nBfSissu,2017-08-29 01:26:40.000000000,2017-08-29 01:26:40.000000000
98,h1unxHlo,2017-08-31 17:20:00.000000000,2017-08-31 17:20:00.000000000
99,OIyTAHCP,2017-08-31 14:33:20.000000000,2017-08-31 14:33:20.000000000
100,bnCnIJSz,2017-08-24 02:00:00.000000000,2017-08-24 04:46:40.000000000
101,ZzWyY1f8,2017-08-24 02:00:00.000000000,2017-08-24 02:00:00.000000000
102,mkKSL3Ev,2017-08-24 02:00:00.000000000,2017-08-24 02:00:00.000000000
103,aVwWNjNR,2017-08-24 02:00:00.000000000,2017-08-24 02:00:00.000000000
104,DNUmSBH4,2017-08-24 02:00:00.000000000,2017-08-24 02:00:00.000000000
105,Tlng5eqN,2017-08-24 02:00:00.000000000,2017-08-24 02:00:00.000000000
106,wljkejE0,2017-08-24 02:00:00.000000000,2017-08-24 02:00:00.000000000
107,iNZuj8bY,2017-08-24 02:00:00.000000000,2017-08-24 02:00:00.000000000
108,Kan2JKOp,2017-08-24 02:00:00.000000000,2017-08-24 02:00:00.000000000
109,bCUwPEJ7,2017-08-24 02:00:00.000000000,2017-08-24 02:00:00.000000000
110,zTwM10Si,2017-08-24 02:00:00.000000000,2017-08-24 02:00:00.000000000
111,PBQ5Il7e,2017-08-24 02:00:00.000000000,2017-08-24 02:00:00.000000000
112,z1LTn4pe,2017-08-25 16:53:20.000000000,2017-08-25 16:53:20.000000000
113,7NKtCk3B,2017-08-25 14:06:40.000000000,2017-08-25 16:53:20.000000000
114,TMtvbg3w,2017-08-24 15:53:20.000000000,2017-08-24 15:53:20.000000000
115,0OXPfTEt,2017-08-24 15:53:20.000000000,2017-08-24 15:53:20.000000000
116,YzMf40DM,2017-08-24 15:53:20.000000000,2017-08-24 15:53:20.000000000
117,q3NHAFFp,2017-08-24 15:53:20.000000000,2017-08-24 15:53:20.000000000
118,Gz7Icasx,2017-08-24 15:53:20.000000000,2017-08-24 15:53:20.000000000
119,3n4poRIX,2017-08-24 15:53:20.000000000,2017-08-24 15:53:20.000000000
120,XRuQPSzH,2017-08-24 13:06:40.000000000,2017-08-24 13:06:40.000000000
121,XPZikam7,2017-08-23 14:53:20.000000000,2017-08-23 14:53:20.000000000
122,5SNh53F9,2017-08-30 08:00:00.000000000,2017-08-30 08:00:00.000000000
123,ezdEKpqG,2017-08-30 08:00:00.000000000,2017-08-30 08:00:00.000000000
124,WyQjriEX,2017-08-28 22:40:00.000000000,2017-08-28 22:40:00.000000000
125,vAOIY0jj,2017-08-28 19:53:20.000000000,2017-08-28 22:40:00.000000000
126,gHld9WSr,2017-08-28 08:46:40.000000000,2017-08-28 08:46:40.000000000
127,dh2xQb3X,2017-08-27 13:20:00.000000000,2017-08-27 13:20:00.000000000
128,TKwuIzb6,2017-08-27 10:33:20.000000000,2017-08-27 13:20:00.000000000
129,s752sCLr,2017-08-26 20:40:00.000000000,2017-08-26 20:40:00.000000000
130,lKYmVLZt,2017-08-26 20:40:00.000000000,2017-08-26 20:40:00.000000000
131,dRhehsEy,2017-08-25 14:06:40.000000000,2017-08-25 14:06:40.000000000
132,7rbdtPwO,2017-08-22 16:40:00.000000000,2017-08-22 16:40:00.000000000
133,ahwTovI0,2017-08-22 16:40:00.000000000,2017-08-22 16:40:00.000000000
134,fgK91ojo,2017-08-22 16:40:00.000000000,2017-08-22 16:40:00.000000000
135,Cmhkui8U,2017-08-22 13:53:20.000000000,2017-08-22 13:53:20.000000000
136,TRpFAEWd,2017-08-19 16:26:40.000000000,2017-08-19 16:26:40.000000000
137,btHFH9xr,2017-08-19 16:26:40.000000000,2017-08-19 16:26:40.000000000
138,G9xaiPFl,2017-08-19 10:53:20.000000000,2017-08-19 10:53:20.000000000
139,RkMlSx4r,2017-08-19 08:06:40.000000000,2017-08-19 08:06:40.000000000
140,Z1CTghfR,2017-08-19 08:06:40.000000000,2017-08-19 08:06:40.000000000
141,X4QqWp8Q,2017-08-19 08:06:40.000000000,2017-08-19 08:06:40.000000000
142,R6dF4yRx,2017-08-18 21:00:00.000000000,2017-08-18 21:00:00.000000000
143,PLxCc87r,2017-08-18 21:00:00.000000000,2017-08-18 21:00:00.000000000
144,p7a4FGwp,2017-08-18 21:00:00.000000000,2017-08-18 21:00:00.000000000
145,3udM9T6k,2017-08-18 21:00:00.000000000,2017-08-18 21:00:00.000000000
146,hkMNenrh,2017-08-18 18:13:20.000000000,2017-08-18 18:13:20.000000000
147,jrmlULM0,2017-08-18 12:40:00.000000000,2017-08-18 12:40:00.000000000
148,JbLparSt,2017-08-18 12:40:00.000000000,2017-08-18 12:40:00.000000000
149,mqZFkCf3,2017-08-18 12:40:00.000000000,2017-08-18 12:40:00.000000000
150,dZn9WLT5,2017-08-18 09:53:20.000000000,2017-08-18 12:40:00.000000000
151,MgL176RS,2017-08-18 09:53:20.000000000,2017-08-18 09:53:20.000000000
152,V16nc5AF,2017-08-18 09:53:20.000000000,2017-08-18 09:53:20.000000000
153,GT8TdRlm,2017-08-18 09:53:20.000000000,2017-08-18 09:53:20.000000000
154,2P2u5f63,2017-08-18 09:53:20.000000000,2017-08-18 09:53:20.000000000
155,15nlkNRf,2017-08-31 00:40:00.000000000,2017-08-31 00:40:00.000000000
156,xwl41jna,2017-08-28 19:53:20.000000000,2017-08-28 19:53:20.000000000
157,1zRjgcqm,2017-08-27 02:13:20.000000000,2017-08-27 05:00:00.000000000
158,vfnLULoh,2017-08-25 19:40:00.000000000,2017-08-25 19:40:00.000000000
159,ut6LIGPI,2017-08-25 03:00:00.000000000,2017-08-25 03:00:00.000000000
160,1KbSJtjs,2017-08-25 00:13:20.000000000,2017-08-25 03:00:00.000000000
161,cqrATt9o,2017-08-25 00:13:20.000000000,2017-08-25 00:13:20.000000000
162,deKfSOPy,2017-08-25 00:13:20.000000000,2017-08-25 00:13:20.000000000
163,vQ1psjxd,2017-08-24 18:40:00.000000000,2017-08-24 18:40:00.000000000
164,k1qV5HHz,2017-08-24 04:46:40.000000000,2017-08-24 04:46:40.000000000
165,QQ3iIM2V,2017-08-23 03:46:40.000000000,2017-08-23 03:46:40.000000000
166,GppFo58m,2017-08-23 01:00:00.000000000,2017-08-23 01:00:00.000000000
167,BoDJGVyk,2017-08-23 01:00:00.000000000,2017-08-23 01:00:00.000000000
168,tqirXAEm,2017-08-22 22:13:20.000000000,2017-08-22 22:13:20.000000000
169,GLC4oNZR,2017-08-22 22:13:20.000000000,2017-08-22 22:13:20.000000000
170,3eLsB99C,2017-08-22 16:40:00.000000000,2017-08-22 19:26:40.000000000
171,M6zMVwqK,2017-08-21 18:26:40.000000000,2017-08-21 21:13:20.000000000
172,yrQWTJVz,2017-08-21 18:26:40.000000000,2017-08-21 18:26:40.000000000
173,aF6DiZZe,2017-08-20 03:33:20.000000000,2017-08-20 03:33:20.000000000
174,0dm3RaQv,2017-08-19 05:20:00.000000000,2017-08-19 05:20:00.000000000
175,BxxAvvER,2017-08-19 02:33:20.000000000,2017-08-19 02:33:20.000000000
176,fPPfEuu5,2017-08-18 21:00:00.000000000,2017-08-18 21:00:00.000000000
177,Hysqcekp,2017-08-18 01:33:20.000000000,2017-08-18 01:33:20.000000000
178,oaKcGCrO,2017-08-17 03:20:00.000000000,2017-08-17 03:20:00.000000000
179,xMezmOBz,2017-08-07 01:40:00.000000000,2017-08-07 01:40:00.000000000
180,46AuHfcq,2017-08-06 00:40:00.000000000,2017-08-06 00:40:00.000000000
181,A7ddojjI,2017-08-04 20:53:20.000000000,2017-08-04 20:53:20.000000000
182,SGqoxO3v,2017-08-01 17:53:20.000000000,2017-08-01 17:53:20.000000000
183,pHJ5zXyE,2017-08-01 15:06:40.000000000,2017-08-01 15:06:40.000000000
184,WqMvA7iE,2017-07-29 01:00:00.000000000,2017-07-29 01:00:00.000000000
185,s3v6jMaX,2017-07-28 00:00:00.000000000,2017-07-28 00:00:00.000000000
186,hl3zLZmV,2017-07-28 00:00:00.000000000,2017-07-28 00:00:00.000000000
187,PHYPEO42,2017-07-27 21:13:20.000000000,2017-07-27 21:13:20.000000000
188,NgZ8xxFe,2017-07-27 21:13:20.000000000,2017-07-27 21:13:20.000000000
189,1ZeBVc5V,2017-07-27 01:46:40.000000000,2017-07-27 04:33:20.000000000
190,OmwDxZpJ,2017-07-26 17:26:40.000000000,2017-07-26 17:26:40.000000000
191,JewxmuG9,2017-07-26 03:33:20.000000000,2017-07-26 03:33:20.000000000
192,0gTDO6Av,2017-08-31 17:20:00.000000000,2017-08-31 17:20:00.000000000
193,t7vvcwqO,2017-08-31 11:46:40.000000000,2017-08-31 11:46:40.000000000
194,igSDFKv0,2017-08-31 11:46:40.000000000,2017-08-31 11:46:40.000000000
195,facMwkUo,2017-08-30 08:00:00.000000000,2017-08-30 08:00:00.000000000
196,j5KY62yS,2017-08-30 08:00:00.000000000,2017-08-30 08:00:00.000000000
197,nyYULwUl,2017-08-30 08:00:00.000000000,2017-08-30 08:00:00.000000000
198,h0YsGMhj,2017-08-27 05:00:00.000000000,2017-08-27 05:00:00.000000000
199,o4T7dj5h,2017-08-27 02:13:20.000000000,2017-08-27 02:13:20.000000000
200,VgNt0SSX,2017-08-26 17:53:20.000000000,2017-08-26 17:53:20.000000000
201,UvqLtnPM,2017-08-26 15:06:40.000000000,2017-08-26 15:06:40.000000000
202,1b0kpInt,2017-08-26 12:20:00.000000000,2017-08-26 12:20:00.000000000
203,dJEtAQp7,2017-08-26 12:20:00.000000000,2017-08-26 12:20:00.000000000
204,ZPHBiKBY,2017-08-26 09:33:20.000000000,2017-08-26 09:33:20.000000000
205,I8odmGjb,2017-08-26 09:33:20.000000000,2017-08-26 09:33:20.000000000
206,DijZlfMy,2017-08-26 09:33:20.000000000,2017-08-26 09:33:20.000000000
207,LyRqbD4d,2017-08-26 09:33:20.000000000,2017-08-26 09:33:20.000000000
208,CvakmVNb,2017-08-26 09:33:20.000000000,2017-08-26 09:33:20.000000000
209,O037dETy,2017-08-26 09:33:20.000000000,2017-08-26 09:33:20.000000000
210,CxQlHSnq,2017-08-26 09:33:20.000000000,2017-08-26 09:33:20.000000000
211,Q0jogkvi,2017-08-25 16:53:20.000000000,2017-08-25 16:53:20.000000000
212,QurxyQkA,2017-08-25 14:06:40.000000000,2017-08-25 14:06:40.000000000
213,mJ9VpdxV,2017-08-25 11:20:00.000000000,2017-08-25 14:06:40.000000000
214,edYOVb5F,2017-08-24 18:40:00.000000000,2017-08-24 18:40:00.000000000
215,GstYv2mJ,2017-08-24 18:40:00.000000000,2017-08-24 18:40:00.000000000
216,dFQ5D7CS,2017-08-24 13:06:40.000000000,2017-08-24 13:06:40.000000000
217,2FpFvoMt,2017-08-23 17:40:00.000000000,2017-08-23 17:40:00.000000000
218,cywOBEY5,2017-08-23 17:40:00.000000000,2017-08-23 17:40:00.000000000
219,pnU8dLUx,2017-08-23 17:40:00.000000000,2017-08-23 17:40:00.000000000
220,lE65efFF,2017-08-23 17:40:00.000000000,2017-08-23 17:40:00.000000000
221,bCVL4bZl,2017-08-22 13:53:20.000000000,2017-08-22 13:53:20.000000000
222,WUyPeYW8,2017-08-22 11:06:40.000000000,2017-08-22 13:53:20.000000000
223,xRY7h8aS,2017-08-21 18:26:40.000000000,2017-08-21 18:26:40.000000000
224,92UGyHOr,2017-08-21 07:20:00.000000000,2017-08-21 10:06:40.000000000
225,UqxaqU7R,2017-08-18 23:46:40.000000000,2017-08-19 02:33:20.000000000
226,TTzZc8gW,2017-08-17 03:20:00.000000000,2017-08-17 03:20:00.000000000
227,F7oADKYb,2017-08-09 00:53:20.000000000,2017-08-09 00:53:20.000000000
228,GoYkQEoS,2017-08-06 00:40:00.000000000,2017-08-06 00:40:00.000000000
229,DszY6Pr4,2017-08-23 01:00:00.000000000,2017-08-23 01:00:00.000000000
230,FhJcOzZW,2017-08-22 22:13:20.000000000,2017-08-22 22:13:20.000000000
231,kKFslhlg,2017-08-22 22:13:20.000000000,2017-08-22 22:13:20.000000000
232,VVkKGe4E,2017-08-21 01:46:40.000000000,2017-08-21 01:46:40.000000000
233,11VaOez1,2017-08-21 01:46:40.000000000,2017-08-21 01:46:40.000000000
234,2akR3Bit,2017-08-20 20:13:20.000000000,2017-08-20 20:13:20.000000000
235,mG2dEz4z,2017-08-20 20:13:20.000000000,2017-08-20 20:13:20.000000000
236,xrZnbIGD,2017-08-20 20:13:20.000000000,2017-08-20 20:13:20.000000000
237,lOU3lddA,2017-08-20 17:26:40.000000000,2017-08-20 17:26:40.000000000
238,xYEVgk0W,2017-08-20 17:26:40.000000000,2017-08-20 17:26:40.000000000
239,QnXuc72h,2017-08-19 02:33:20.000000000,2017-08-19 02:33:20.000000000
240,ejaSwZEr,2017-08-19 02:33:20.000000000,2017-08-19 02:33:20.000000000
241,3ZfA3gFa,2017-08-18 23:46:40.000000000,2017-08-18 23:46:40.000000000
242,WoOqoYEL,2017-08-18 01:33:20.000000000,2017-08-18 01:33:20.000000000
243,EgoW2NiE,2017-08-18 01:33:20.000000000,2017-08-18 01:33:20.000000000
244,ZctgRAt4,2017-08-17 22:46:40.000000000,2017-08-17 22:46:40.000000000
245,VuZ0dzhO,2017-08-17 22:46:40.000000000,2017-08-17 22:46:40.000000000
246,1cvi4Z6K,2017-08-16 21:46:40.000000000,2017-08-16 21:46:40.000000000
247,E83xJFBo,2017-08-16 21:46:40.000000000,2017-08-16 21:46:40.000000000
248,hVSNfLer,2017-08-16 02:20:00.000000000,2017-08-16 02:20:00.000000000
249,XyM6zTew,2017-08-16 02:20:00.000000000,2017-08-16 02:20:00.000000000
250,5sEcA5zs,2017-08-15 23:33:20.000000000,2017-08-15 23:33:20.000000000
251,wXnKMk3N,2017-08-14 19:46:40.000000000,2017-08-14 19:46:40.000000000
252,YPVYpEvm,2017-08-14 19:46:40.000000000,2017-08-14 19:46:40.000000000
253,rth667hB,2017-08-14 17:00:00.000000000,2017-08-14 17:00:00.000000000
254,rb7lq7dT,2017-08-14 14:13:20.000000000,2017-08-14 14:13:20.000000000
255,hxMTrlzW,2017-08-14 03:06:40.000000000,2017-08-14 03:06:40.000000000
256,hfNJtVnd,2017-08-13 18:46:40.000000000,2017-08-13 18:46:40.000000000
257,ijtzfFex,2017-08-17 22:46:40.000000000,2017-08-17 22:46:40.000000000
258,Uc64bIGE,2017-08-17 22:46:40.000000000,2017-08-17 22:46:40.000000000
259,o1qwAoUy,2017-08-17 22:46:40.000000000,2017-08-17 22:46:40.000000000
260,voV4ekhS,2017-08-17 22:46:40.000000000,2017-08-17 22:46:40.000000000
261,VUCRbEm8,2017-08-16 21:46:40.000000000,2017-08-16 21:46:40.000000000
262,LDLdtyDj,2017-08-16 19:00:00.000000000,2017-08-16 21:46:40.000000000
263,Gr1n1AdP,2017-08-16 19:00:00.000000000,2017-08-16 19:00:00.000000000
264,1TpYTEKR,2017-08-16 19:00:00.000000000,2017-08-16 19:00:00.000000000
265,AUzK1bj8,2017-03-23 17:26:40.000000000,2017-03-23 17:26:40.000000000
266,R5SfPQiB,2017-03-23 17:26:40.000000000,2017-03-23 17:26:40.000000000
267,VXdhNTk5,2017-03-23 17:26:40.000000000,2017-03-23 17:26:40.000000000
268,kTRSenmv,2017-03-23 14:40:00.000000000,2017-03-23 17:26:40.000000000
269,FE7B5vY8,2016-09-02 18:13:20.000000000,2016-09-02 18:13:20.000000000
270,PEIWrbTQ,2016-08-13 14:53:20.000000000,2016-08-13 14:53:20.000000000
271,8hlHAFPF,2015-08-31 03:00:00.000000000,2015-08-31 03:00:00.000000000
272,BwBDbyKq,2017-08-29 12:33:20.000000000,2017-08-29 12:33:20.000000000
273,E41MaCB9,2017-08-29 01:26:40.000000000,2017-08-29 04:13:20.000000000
274,UVbhSOnA,2017-08-29 01:26:40.000000000,2017-08-29 01:26:40.000000000
275,HYMGpINp,2017-08-29 01:26:40.000000000,2017-08-29 01:26:40.000000000
276,L9UeFctE,2017-08-28 00:26:40.000000000,2017-08-28 00:26:40.000000000
277,DbYHY9Bc,2017-08-28 00:26:40.000000000,2017-08-28 00:26:40.000000000
278,7fftvkF6,2017-08-28 00:26:40.000000000,2017-08-28 00:26:40.000000000
279,IlQp1eqc,2017-08-28 00:26:40.000000000,2017-08-28 00:26:40.000000000
280,atgsbOBS,2017-08-27 21:40:00.000000000,2017-08-27 21:40:00.000000000
281,Kx4jd1Oo,2017-08-27 21:40:00.000000000,2017-08-27 21:40:00.000000000
282,5vg0pHEg,2017-08-27 21:40:00.000000000,2017-08-27 21:40:00.000000000
283,5uNNVd3c,2017-08-27 21:40:00.000000000,2017-08-27 21:40:00.000000000
284,aGVLNoTY,2017-08-27 21:40:00.000000000,2017-08-27 21:40:00.000000000
285,W4eyc9dH,2017-08-27 21:40:00.000000000,2017-08-27 21:40:00.000000000
286,l2My0J1h,2017-08-13 16:00:00.000000000,2017-08-13 18:46:40.000000000
287,eRHQGmr2,2017-08-13 13:13:20.000000000,2017-08-13 13:13:20.000000000
288,D45fTp2y,2017-08-13 04:53:20.000000000,2017-08-13 04:53:20.000000000
289,lTOKfWMv,2017-08-13 02:06:40.000000000,2017-08-13 02:06:40.000000000
290,sd7oPNum,2017-08-12 15:00:00.000000000,2017-08-12 15:00:00.000000000
291,xLmd5oZZ,2017-08-12 15:00:00.000000000,2017-08-12 15:00:00.000000000
292,T3gAyyeH,2017-08-12 01:06:40.000000000,2017-08-12 01:06:40.000000000
293,HDPjH5bD,2017-08-12 01:06:40.000000000,2017-08-12 01:06:40.000000000
294,cFSW3SMi,2017-08-12 01:06:40.000000000,2017-08-12 01:06:40.000000000
295,wsNnVC6Y,2017-08-12 01:06:40.000000000,2017-08-12 01:06:40.000000000
296,UxvU6EN4,2017-08-12 01:06:40.000000000,2017-08-12 01:06:40.000000000
297,mjXUQnww,2017-08-31 00:40:00.000000000,2017-08-31 00:40:00.000000000
298,lC84DiKq,2017-08-31 00:40:00.000000000,2017-08-31 00:40:00.000000000
299,A17jdHS8,2017-08-31 00:40:00.000000000,2017-08-31 00:40:00.000000000
300,t5ixT6HN,2017-08-29 23:40:00.000000000,2017-08-29 23:40:00.000000000
301,8uZRNw8n,2017-08-29 23:40:00.000000000,2017-08-29 23:40:00.000000000
302,vwQzM7Sg,2017-08-28 19:53:20.000000000,2017-08-28 22:40:00.000000000
303,I4zyNfPo,2017-08-28 19:53:20.000000000,2017-08-28 19:53:20.000000000
304,6eQ92lsE,2017-08-23 20:26:40.000000000,2017-08-23 20:26:40.000000000
305,8BLA0IOl,2017-08-23 03:46:40.000000000,2017-08-23 03:46:40.000000000
306,pMcUNK5E,2017-08-22 22:13:20.000000000,2017-08-22 22:13:20.000000000
307,Kzq2t2lB,2017-08-22 22:13:20.000000000,2017-08-22 22:13:20.000000000
308,a0VRhASu,2017-08-22 22:13:20.000000000,2017-08-22 22:13:20.000000000
309,5gymGRgt,2017-08-22 19:26:40.000000000,2017-08-22 19:26:40.000000000
310,Vyrkyifp,2017-08-22 16:40:00.000000000,2017-08-22 16:40:00.000000000
311,exEzRx87,2017-08-22 16:40:00.000000000,2017-08-22 16:40:00.000000000
